Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary,Ancestors
41100853,OMOP2298815,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 28 by Eurim-Pharm,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35750951,OMOP2752412,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 28 by Mawdsley-Brooks,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
41287787,OMOP2485749,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 28 by Orifarm Leverkus,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
43161257,OMOP485562,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 28 by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,"6,600","6,600","5,080","5,080",Drug,RxNorm Extension,
35771976,OMOP2773437,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 28 by Sigma-Tau,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35771975,OMOP2773436,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 28 by Waymade,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
43194152,OMOP485563,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 56,Branded Drug Box,Standard,8/23/2017,12/30/2099,0,920,0,610,Drug,RxNorm Extension,
40851154,OMOP2049116,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 56 by Cc,Marketed Product,Standard,8/23/2017,12/30/2099,310,310,200,200,Drug,RxNorm Extension,
35755196,OMOP2756657,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 56 by DE,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
44185422,OMOP3062145,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 56 by Eurim-Pharm,Marketed Product,Standard,10/5/2017,12/30/2099,610,610,410,410,Drug,RxNorm Extension,
40975658,OMOP2173620,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 56 by Gerke,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35771974,OMOP2773435,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 56 by Mawdsley-Brooks,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
41256750,OMOP2454712,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 56 by Orifarm Leverkus,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
40944716,OMOP2142678,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 56 by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35746790,OMOP2748251,varenicline 1 MG Delayed Release Oral Tablet [Champix] Box of 56 by Waymade,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35771978,OMOP2773439,varenicline 1 MG Delayed Release Oral Tablet [Champix] by DE,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35742609,OMOP2744070,varenicline 1 MG Delayed Release Oral Tablet [Champix] by Mawdsley-Brooks,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35750952,OMOP2752413,varenicline 1 MG Delayed Release Oral Tablet [Champix] by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35746793,OMOP2748254,varenicline 1 MG Delayed Release Oral Tablet [Champix] by Sigma-Tau,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35746792,OMOP2748253,varenicline 1 MG Delayed Release Oral Tablet [Champix] by Waymade,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
44040628,OMOP1035259,varenicline 1 MG [Gd-Varenicline],Branded Drug Comp,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
780446,636676,varenicline 1 MG Oral Tablet,Clinical Drug,Standard,7/8/2006,12/30/2099,"1,155,040","21,488,480","454,910","10,129,690",Drug,RxNorm,
40958327,OMOP2156289,varenicline 1 MG Oral Tablet Box of 112,Clinical Drug Box,Standard,8/23/2017,12/30/2099,0,940,0,680,Drug,RxNorm Extension,
21046218,OMOP262012,varenicline 1 MG Oral Tablet Box of 14,Clinical Drug Box,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
36277419,OMOP3128294,varenicline 1 MG Oral Tablet Box of 140,Clinical Drug Box,Standard,9/30/2017,12/30/2099,0,"8,960",0,"7,010",Drug,RxNorm Extension,
